Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Let It Die,PlayStation 4,2020.0,Action,GungHo  ,0.0,0.01,0.01,0.0,0.01,72.0,38.0,7.1,252.0,Grasshopper Manufacture,M
Senran Kagura: Estival Versus,PlayStation 4,2016.0,Action,Xseed Games  ,0.08,0.0,0.09,0.02,0.18,67.0,25.0,7.8,166.0,"Tamsoft, Marvelous Inc.",M
Thief,Xbox One,2014.0,Fantasy,Square Enix  ,0.26,0.17,0.0,0.04,0.48,69.0,21.0,6.1,297.0,Eidos Montreal,M
Darksiders III,PC,2018.0,Action Adventure,THQ Nordic  ,0.0,0.01,0.0,0.0,0.01,70.0,43.0,7.1,595.0,"Gunfire Games, THQ Nordic",M
Darksiders III,Xbox One,2018.0,Action Adventure,THQ Nordic  ,0.11,0.0,0.0,0.01,0.12,69.0,19.0,7.1,147.0,"Gunfire Games, THQ Nordic",M
Darksiders III,PlayStation 4,2018.0,Action Adventure,THQ Nordic  ,0.13,0.07,0.0,0.04,0.25,64.0,59.0,7.0,538.0,"Gunfire Games, THQ Nordic",M
Diablo III: Eternal Collection,Switch,2018.0,Role-Playing,Blizzard Entertainment  ,0.38,0.22,0.01,0.06,0.67,88.0,61.0,7.4,298.0,Blizzard Entertainment,M
LEGO Harry Potter Collection,Xbox One,2018.0,Miscellaneous,Warner Bros. Interactive Entertainment  ,0.14,0.06,0.0,0.02,0.22,73.0,8.0,7.9,7.0,Warner Bros. Interactive Entertainment,E10+
LEGO Harry Potter Collection,Switch,2018.0,Miscellaneous,Warner Bros. Interactive Entertainment  ,0.15,0.16,0.0,0.03,0.33,73.0,10.0,7.8,29.0,Warner Bros. Interactive Entertainment,E10+
The Escapists 2,Switch,2018.0,Action,Sold Out  ,0.04,0.0,0.0,0.0,0.05,73.0,29.0,6.8,37.0,"Team17, Mouldy Toof Studios",T
Dark Souls Trilogy,Xbox One,2018.0,Miscellaneous,Namco Bandai  ,0.04,0.0,0.0,0.0,0.04,,,7.7,7.0,From Software,M
Utawarerumono Zan,PlayStation 4,2018.0,Action,Aquaplus  ,0.0,0.0,0.03,0.0,0.03,59.0,12.0,3.8,12.0,"Tamsoft, Aqua Plus",T
Naruto to Boruto: Shinobi Striker,PlayStation 4,2018.0,Action,Bandai Namco Games  ,0.19,0.03,0.02,0.05,0.29,61.0,29.0,6.1,98.0,"CyberConnect2, Soleil",T
Naruto to Boruto: Shinobi Striker,Xbox One,2018.0,Action,Bandai Namco Games  ,0.17,0.0,0.0,0.02,0.19,60.0,7.0,5.8,19.0,"CyberConnect2, Soleil",T
Apex Construct,PlayStation 4,2018.0,Action,Perp Games  ,0.04,0.0,0.0,0.01,0.05,72.0,21.0,6.6,28.0,Fast Travel Games,E10+
Dead Cells,PlayStation 4,2018.0,Action,Merge Games  ,0.04,0.0,0.0,0.01,0.05,87.0,31.0,7.7,247.0,Motion Twin,T
Dead Cells,Switch,2018.0,Action,Merge Games  ,0.08,0.02,0.0,0.01,0.11,89.0,36.0,8.4,392.0,Motion Twin,T
Okami HD,Switch,2018.0,Action Adventure,Capcom  ,0.0,0.0,0.04,0.0,0.04,89.0,32.0,8.5,208.0,Capcom,T
Titan Quest,Switch,2018.0,Role-Playing,THQ Nordic  ,0.01,0.0,0.0,0.0,0.01,65.0,16.0,7.2,36.0,THQ Nordic,T
Hello Neighbor,Switch,2018.0,Adventure,Gearbox Software  ,0.12,0.1,0.0,0.02,0.24,39.0,7.0,4.2,40.0,tinyBuild,E10+
Hello Neighbor,PlayStation 4,2018.0,Adventure,Gearbox Software  ,0.13,0.16,0.0,0.06,0.35,,,4.8,32.0,Gearbox Publishing,E10+
New Gundam Breaker,PlayStation 4,2018.0,Action,Namco Bandai Games  ,0.03,0.0,0.1,0.01,0.13,43.0,22.0,3.2,53.0,Bandai Namco Games,T
Yoku's Island Express,Switch,2018.0,Action,Villa Gorilla  ,0.01,0.0,0.0,0.0,0.01,82.0,29.0,8.6,106.0,Villa Gorilla,E10+
Yoku's Island Express,Xbox One,2018.0,Action,Villa Gorilla  ,0.01,0.0,0.0,0.0,0.02,83.0,29.0,7.8,29.0,Villa Gorilla,E10+
Yoku's Island Express,PlayStation 4,2018.0,Action,Villa Gorilla  ,0.01,0.0,0.0,0.0,0.01,83.0,11.0,7.7,34.0,Villa Gorilla,E10+
LEGO The Incredibles,Xbox One,2018.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.19,0.1,0.0,0.03,0.32,74.0,9.0,7.3,17.0,"TT Games, TT Fusion",E10+
LEGO The Incredibles,PlayStation 4,2018.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.18,0.27,0.0,0.09,0.53,69.0,35.0,5.3,39.0,"TT Games, TT Fusion",E10+
LEGO The Incredibles,Switch,2018.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.35,0.21,0.01,0.06,0.63,65.0,14.0,7.3,24.0,"TT Games, TT Fusion",E10+
Yonder: The Cloud Catcher Chronicles,Switch,2018.0,Action Adventure,Merge Games  ,0.02,0.0,0.0,0.0,0.03,74.0,15.0,7.3,44.0,Prideful Sloth,E
Hyrule Warriors: Definitive Edition,Switch,2018.0,Action,Nintendo  ,0.21,0.15,0.07,0.03,0.46,78.0,59.0,8.0,217.0,Koei Tecmo Games,T
Extinction,Xbox One,2018.0,Action Adventure,Maximum Games  ,0.04,0.0,0.0,0.01,0.05,52.0,18.0,1.9,29.0,Iron Galaxy Studios,M
Extinction,PlayStation 4,2018.0,Action Adventure,Maximum Games  ,0.05,0.0,0.0,0.01,0.06,47.0,37.0,1.5,85.0,Iron Galaxy Studios,M
Far Cry 5,PlayStation 4,2018.0,Action,Ubisoft  ,1.44,1.73,0.15,0.62,3.95,81.0,83.0,6.8,2046.0,Ubisoft Montreal,M
Far Cry 5,Xbox One,2018.0,Action,Ubisoft  ,1.14,0.47,0.0,0.17,1.78,82.0,32.0,6.9,501.0,Ubisoft Montreal,M
Far Cry 5,PC,2018.0,Action,Ubisoft  ,0.0,0.07,0.0,0.0,0.07,78.0,31.0,6.3,1766.0,Ubisoft Montreal,M
A Way Out,PlayStation 4,2018.0,Action Adventure,Electronic Arts  ,0.23,0.16,0.0,0.08,0.48,78.0,62.0,7.9,880.0,Hazelight,M
