Name,Platform,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Genre
Let It Die,PlayStation 4,72,38,7.1,252,Grasshopper Manufacture,M,Action
Senran Kagura: Estival Versus,PlayStation 4,67,25,7.8,166,"Tamsoft, Marvelous Inc.",M,Action
Thief,Xbox One,69,21,6.1,297,Eidos Montreal,M,Fantasy
Katamari Damacy REROLL,Switch,87,23,8.2,98,Bandai Namco Games,E,Action Adventure
Darksiders III,PC,70,43,7.1,595,"Gunfire Games, THQ Nordic",M,Action Adventure
Darksiders III,Xbox One,69,19,7.1,147,"Gunfire Games, THQ Nordic",M,Action Adventure
Darksiders III,PlayStation 4,64,59,7.0,538,"Gunfire Games, THQ Nordic",M,Action Adventure
Diablo III: Eternal Collection,Switch,88,61,7.4,298,Blizzard Entertainment,M,Role-Playing
LEGO Harry Potter Collection,Xbox One,73,8,7.9,7,Warner Bros. Interactive Entertainment,E10+,Miscellaneous
LEGO Harry Potter Collection,Switch,73,10,7.8,29,Warner Bros. Interactive Entertainment,E10+,Miscellaneous
The Escapists 2,Switch,73,29,6.8,37,"Team17, Mouldy Toof Studios",T,Action
Dark Souls Trilogy,Xbox One,,,7.7,7,From Software,M,Miscellaneous
Utawarerumono Zan,PlayStation 4,59,12,3.8,12,"Tamsoft, Aqua Plus",T,Action
Naruto to Boruto: Shinobi Striker,PlayStation 4,61,29,6.1,98,"CyberConnect2, Soleil",T,Action
Naruto to Boruto: Shinobi Striker,Xbox One,60,7,5.8,19,"CyberConnect2, Soleil",T,Action
Apex Construct,PlayStation 4,72,21,6.6,28,Fast Travel Games,E10+,Action
Dead Cells,PlayStation 4,87,31,7.7,247,Motion Twin,T,Action
Dead Cells,Switch,89,36,8.4,392,Motion Twin,T,Action
Okami HD,Switch,89,32,8.5,208,Capcom,T,Action Adventure
Titan Quest,Switch,65,16,7.2,36,THQ Nordic,T,Role-Playing
Hello Neighbor,Switch,39,7,4.2,40,tinyBuild,E10+,Adventure
Hello Neighbor,PlayStation 4,,,4.8,32,Gearbox Publishing,E10+,Adventure
New Gundam Breaker,PlayStation 4,43,22,3.2,53,Bandai Namco Games,T,Action
Yoku's Island Express,Switch,82,29,8.6,106,Villa Gorilla,E10+,Action
Yoku's Island Express,Xbox One,83,29,7.8,29,Villa Gorilla,E10+,Action
Yoku's Island Express,PlayStation 4,83,11,7.7,34,Villa Gorilla,E10+,Action
LEGO The Incredibles,Xbox One,74,9,7.3,17,"TT Games, TT Fusion",E10+,Action Adventure
LEGO The Incredibles,PlayStation 4,69,35,5.3,39,"TT Games, TT Fusion",E10+,Action Adventure
LEGO The Incredibles,Switch,65,14,7.3,24,"TT Games, TT Fusion",E10+,Action Adventure
Yonder: The Cloud Catcher Chronicles,Switch,74,15,7.3,44,Prideful Sloth,E,Action Adventure
Shaq Fu: A Legend Reborn,Xbox One,54,9,5.8,12,Big Deez Productions,T,Action
Shaq Fu: A Legend Reborn,PlayStation 4,36,12,5.5,30,Big Deez Productions,T,Action
Shaq Fu: A Legend Reborn,Switch,49,11,6.4,64,Big Deez Productions,T,Action
Hyrule Warriors: Definitive Edition,Switch,78,59,8.0,217,Koei Tecmo Games,T,Action
Dillon's Dead-Heat Breakers,3DS,69,29,7.6,27,"Nintendo, Vanpool",E10+,Action
Extinction,Xbox One,52,18,1.9,29,Iron Galaxy Studios,M,Action Adventure
Extinction,PlayStation 4,47,37,1.5,85,Iron Galaxy Studios,M,Action Adventure
Far Cry 5,PlayStation 4,81,83,6.8,2046,Ubisoft Montreal,M,Action
Far Cry 5,Xbox One,82,32,6.9,501,Ubisoft Montreal,M,Action
Far Cry 5,PC,78,31,6.3,1766,Ubisoft Montreal,M,Action
A Way Out,PlayStation 4,78,62,7.9,880,Hazelight,M,Action Adventure
A Way Out,Xbox One,79,26,7.8,216,Hazelight,M,Action Adventure
Attack on Titan 2,Xbox One,74,10,6.8,19,Omega Force,M,Action
Attack on Titan 2,PlayStation 4,75,50,7.5,73,Omega Force,M,Action
Attack on Titan 2,Switch,72,14,7.1,50,Omega Force,M,Action
Titan Quest,Xbox One,66,9,6.8,20,THQ Nordic,T,Role-Playing
Titan Quest,PlayStation 4,55,14,5.9,52,THQ Nordic,T,Role-Playing
Devil May Cry HD Collection,Xbox One,71,9,8.4,86,"Pipeworks Software, Inc., NeoBards Entertainment",M,Miscellaneous
Devil May Cry HD Collection,PlayStation 4,60,27,7.9,207,"Pipeworks Software, Inc., NeoBards Entertainment",M,Miscellaneous
Fist of the North Star: Lost Paradise,PlayStation 4,72,44,7.8,116,Ryu ga Gotoku Studios,M,Action
Past Cure,PlayStation 4,37,22,4.7,52,Phantom 8,M,Action
Past Cure,Xbox One,34,8,6.0,24,Phantom 8,M,Action
Metal Gear Survive,Xbox One,62,14,2.0,203,Konami,M,Action Adventure
Metal Gear Survive,PlayStation 4,60,70,1.4,1072,Konami,M,Action Adventure
Senran Kagura Burst Re:Newal,PlayStation 4,65,19,5.1,54,Honey Parade Games,M,Action
Dynasty Warriors 9,PlayStation 4,65,49,4.0,152,Omega Force,T,Action
Dynasty Warriors 9,Xbox One,56,13,4.1,31,"Omega Force, Koei Tecmo Games",T,Action Adventure
Monster Hunter: World,Xbox One,90,17,7.2,460,Capcom,T,Role-Playing
The Inpatient,PlayStation 4,59,57,5.9,99,Supermassive Games,M,Action Adventure
One Piece: Pirate Warriors 3 - Deluxe Edition,Switch,76,16,8.3,33,Koei Tecmo Games,T,Action
Okami HD,PlayStation 4,87,39,8.2,209,Capcom,T,Action Adventure
Okami HD,Xbox One,87,14,8.4,72,Capcom,T,Action Adventure
Hello Neighbor,Xbox One,42,13,4.7,79,tinyBuild,E10+,Action
